Model,Dataset,Dimension,Type,MSE,MSE,RMSE,RMSE,MAE,MAE,Spearman,Spearman,Kendall,Kendall,Pearson,Pearson
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
4omini,Dialsumm,consistency,discrete_R2CCP,0.39546419599427757,0.02410339270233656,0.6285759272548074,0.019270542881683513,0.48892160228898424,0.014145141165328862,0.6840579523464827,0.02264248579316491,0.5532965355677077,0.020594639561342266,0.7942964744138955,0.011741531813777724
4omini,Dialsumm,coherence,continuous_R2CCP,0.34429591190476194,0.017924497858142346,0.5865742953249035,0.015307468388678839,0.4542157142857143,0.01165573623552447,0.39626908021252655,0.029205860309547475,0.29983184297570403,0.022497123490838798,0.4235457862970609,0.030362009181110764
4omini,Dialsumm,coherence,discrete_R2CCP,0.34810609285714283,0.018080755918240793,0.5898124400676921,0.015336852120642884,0.45262142857142856,0.012063478450068653,0.38524824152024106,0.030486772965318352,0.3129678810229489,0.025714468470442314,0.41448517945315455,0.029846422835769024
4omini,Dialsumm,fluency,continuous_R2CCP,0.17343280820105822,0.015407394867782441,0.41606436046367506,0.018321819832462376,0.3085828042328042,0.016037371271896,0.43311529340889793,0.021915960383673584,0.34022731591303174,0.017502716133270892,0.5860091746006196,0.03702244323517041
4omini,Dialsumm,fluency,discrete_R2CCP,0.17824848809523808,0.01598282644293813,0.4217912551985102,0.01880760750252,0.3091373015873015,0.016213479712422596,0.4181474036775246,0.021176066661609,0.36441749724666717,0.018085965138871715,0.576671730795013,0.03542024286432314
4omini,Dialsumm,relevance,continuous_R2CCP,0.33766463170635314,0.015541592692915766,0.5809398138203192,0.013407578238518783,0.445186493429503,0.010690492272667121,0.716213476543552,0.017916569887306465,0.5628591956034679,0.01694155432626466,0.786205856529048,0.012588313014057726
4omini,Dialsumm,relevance,discrete_R2CCP,0.3416083996146626,0.017063336161905723,0.584295712439513,0.01463933198182257,0.44607079339986166,0.011356896405035469,0.7135883055686555,0.018858022529627254,0.5843382256546241,0.018969633661258048,0.78319576004005,0.01309957332010828
4omini,GEval,cosmos,continuous_R2CCP,2.0348452891156463,0.19021351108707588,1.4249807392414289,0.0665026463559333,1.222843537414966,0.06614364426531101,0.36631443758007626,0.07690901041235441,0.2818840414590565,0.06072272932127919,0.35856758396898214,0.08576927875147004
4omini,GEval,cosmos,discrete_R2CCP,2.044345238095238,0.19604911715627987,1.4282213861103026,0.06844764185054862,1.2195578231292517,0.06892781460671972,0.3484801262210389,0.08414768105588219,0.2926617247452673,0.06827901980644863,0.3463607139234799,0.09201444191932857
4omini,GEval,drop,continuous_R2CCP,1.5089013333333334,0.17102859841172705,1.2265866521496263,0.0673630265545704,1.0335809523809525,0.07560901316124591,0.45819287441933265,0.07259953967499104,0.3531373782081394,0.05811088030768518,0.5209568631596732,0.0716768753712601
4omini,GEval,drop,discrete_R2CCP,1.5262103174603174,0.18533829482371475,1.2333599361797793,0.07216063465196282,1.024047619047619,0.08529442415040177,0.468508387011527,0.09036183319058887,0.4022479116110185,0.07817255109851105,0.5078613488830066,0.08724965661221366
4omini,GEval,esnli,continuous_R2CCP,1.0450959917153997,0.18608863253826374,1.0188928637523538,0.08497505189715605,0.86510477582846,0.07882085692359173,0.23857545766287475,0.09220154747915023,0.18932378594785657,0.07374234979634949,0.23462485161880725,0.09291463981631876
4omini,GEval,esnli,discrete_R2CCP,1.0606420565302146,0.19467558661939988,1.0262472501488984,0.08800857224092537,0.8544103313840156,0.08336070412544236,0.23130576835765904,0.10954594846835707,0.20582118650743308,0.09847542176135915,0.22235427778138167,0.113021053633412
4omini,GEval,gsm8k,continuous_R2CCP,2.3073855999999995,0.317119044212464,1.5155099276663804,0.10479171037550251,1.2820066666666667,0.17559171723324404,0.49334762050379105,0.09737350560865393,0.39602965597319156,0.07447513958562312,0.5105290352074029,0.10308280330181768
4omini,GEval,gsm8k,discrete_R2CCP,2.3173125,0.3191998663651036,1.5187916523501326,0.10463936467476366,1.2774166666666666,0.17343696476566478,0.5012554625563369,0.10834754011307537,0.4336001596966639,0.09154773011233219,0.5052784234056535,0.10705488269891945
4omini,SocREval,cosmos,continuous_R2CCP,1.9041174914965988,0.22912460722983227,1.3774965927868847,0.08275823757595333,1.1704574829931973,0.07125687301243067,0.42961147517385956,0.07663455465012495,0.33045787565126117,0.06107334394585754,0.42463261783351053,0.08146534664557238
4omini,SocREval,cosmos,discrete_R2CCP,1.9167729591836735,0.24674059421494218,1.3817473142929066,0.08836046058331787,1.1648809523809522,0.07417644504456561,0.4149583981279897,0.08474509585802628,0.3476418809596093,0.07196885889876971,0.4133794323853023,0.08230744399778481
4omini,SocREval,drop,continuous_R2CCP,1.560188388888889,0.2602243094727485,1.245048030163699,0.10193198277002799,1.016773015873016,0.11874260083015362,0.4953842512327581,0.07899345961182853,0.3855302419390375,0.06236144827184465,0.5158178621700593,0.09085011143297128
4omini,SocREval,drop,discrete_R2CCP,1.577797619047619,0.2780848025173569,1.2515927086278427,0.1081823688097197,1.0126190476190478,0.12676180421645233,0.4928700390876005,0.10835022776171616,0.4213591862048578,0.09170047833868568,0.5028595413507616,0.11059315560765134
4omini,SocREval,esnli,continuous_R2CCP,0.7250437012670565,0.12617713329094005,0.8485265520568043,0.07239118531245466,0.7157188109161794,0.0700958098569771,0.5092539112407231,0.0800463672957137,0.4083297944741221,0.06640313816494102,0.5795667724641431,0.07019614322591934
4omini,SocREval,esnli,discrete_R2CCP,0.7531067251461989,0.13387311045560837,0.8646874249732915,0.07503955891598545,0.7112573099415204,0.07741605584644441,0.5049544023689316,0.07575045245546887,0.4528158171738324,0.07207024795309336,0.5548694608139195,0.07755311155357401
4omini,SocREval,gsm8k,continuous_R2CCP,2.0609226083333336,0.3749086177836039,1.430035836896159,0.12833192493673554,1.1544616666666665,0.2853050314661223,0.5692833286804878,0.06216285733227112,0.4701615520906452,0.05334328445659326,0.6098626800983323,0.08122995598558617
4omini,SocREval,gsm8k,discrete_R2CCP,2.0947916666666666,0.3605568958481839,1.442241643248987,0.12344498626064597,1.1435,0.29786278951777506,0.5888363828504364,0.07091101560369462,0.5269865753109861,0.06500546404146998,0.6036044143683073,0.08640403596595814
dsr1,Summeval,consistency,continuous_R2CCP,0.5637187834051725,0.06092738396189702,0.7497755470648216,0.04013680197407613,0.44599375,0.027324894212969988,0.4452765523761212,0.04529905188309621,0.36107497119565024,0.03627540496529662,0.6099770118362763,0.054667333927301866
dsr1,Summeval,consistency,discrete_R2CCP,0.5657230959051724,0.061631366168170845,0.7510931659978939,0.040480332524636585,0.4406002155172414,0.036110911754974474,0.4615024489062864,0.055169508115311176,0.42292513079775174,0.049708068606493634,0.6082503153418544,0.05421173634988328
dsr1,Summeval,coherence,continuous_R2CCP,0.5993336422413794,0.023294370644251074,0.774025313842399,0.015041867052725552,0.6193646551724138,0.01133534496222156,0.6633803178193413,0.01799520532831497,0.4920249440808967,0.014837572241704669,0.6667297800887667,0.019835195390677417
dsr1,Summeval,coherence,discrete_R2CCP,0.602274551724138,0.0235768039735669,0.7759202448795299,0.015174501635286688,0.618876724137931,0.011387184763228215,0.6613635754479054,0.01777448977692927,0.5081590072728934,0.014807819923583836,0.6643419039558026,0.01973736343184169
dsr1,Summeval,fluency,continuous_R2CCP,0.37336588750000005,0.03210003008324243,0.6105050749807,0.02591978852903216,0.4552879166666666,0.04158466248408456,0.3914251725393447,0.024737668632328996,0.31057902070581117,0.019869788039145006,0.5949912735468881,0.028101023530286165
dsr1,Summeval,fluency,discrete_R2CCP,0.3753438145833333,0.03130113178225795,0.6121549965115897,0.02512194045661677,0.4537016666666666,0.0440994485562683,0.39328477187625105,0.02769812980788769,0.35138082610051585,0.024855919871796826,0.5921044714060169,0.027092059515890148
dsr1,Summeval,relevance,continuous_R2CCP,0.43073704583333333,0.017268050527984444,0.656175907958362,0.013270019944605763,0.5128220833333333,0.010814556154572505,0.5546659346952397,0.018978999368270338,0.4119321266858641,0.015048837528124675,0.576044549768016,0.02106475276059392
